"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8381","Verify that 88 Inputs are present on Vi International Roaming Packs (2026) - Stay Connected Abroad | Vi India @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi International Roaming Packs (2026) - Stay Connected Abroad | Vi India - Regression Tests","Regression Test Suite","",""
"","3585","Verify that 15 Buttons are present on Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G - Regression Tests","Regression Test Suite","",""
"","9365","Verify that 3 Menus are present on Vodafone Idea News (Vi): Latest Vi News, Press Releases &amp; Updates @regression","chromium","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vodafone Idea News (Vi): Latest Vi News, Press Releases &amp; Updates - Regression Tests","Regression Test Suite","",""
"","6493","Verify that Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments loads successfully @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments - Regression Tests","Regression Test Suite","",""
"","9747","Verify that 29 Buttons are present on Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim - Regression Tests","Regression Test Suite","",""
"","10652","Verify that 108 Links are present on Vi Blog | Get Latest News & Information on Vi Network @regression","chromium","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi Blog | Get Latest News & Information on Vi Network - Regression Tests","Regression Test Suite","",""
"","3226","Verify that 14 Buttons are present on Vi (Vodafone Idea) Customer Care Number | Vi Complaint & Helpline Number @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi (Vodafone Idea) Customer Care Number | Vi Complaint & Helpline Number - Regression Tests","Regression Test Suite","",""
"","2563","Verify that 15 Headings are present on Pay Vi Postpaid Bill Online - Quick & Secure | Vi India @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Pay Vi Postpaid Bill Online - Quick & Secure | Vi India - Regression Tests","Regression Test Suite","",""
"","6493","Verify that 12 Headings are present on Vi Product & Services FAQs, Frequently Asked Questions @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Product & Services FAQs, Frequently Asked Questions - Regression Tests","Regression Test Suite","",""
"","5445","Verify that 2 Headings are present on Plan Selection Page @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Plan Selection Page - Regression Tests","Regression Test Suite","",""
"","8796","Verify that 3 Menus are present on Vi Blog | Get Latest News & Information on Vi Network @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - Vi Blog | Get Latest News & Information on Vi Network - Regression Tests","Regression Test Suite","",""
"","5694","Verify that 1 Form is present on Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India - Regression Tests","Regression Test Suite","",""
"","2682","Verify that Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge loads successfully @regression","firefox","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge - Regression Tests","Regression Test Suite","",""
"","10928","Verify that 1 Menu is present on How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India @regression","firefox","2026-06-12","failed","2026-06-12","https://www.myvi.in/ - How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India - Regression Tests","Regression Test Suite","",""
"","4286","Verify that 37 Inputs are present on Vi FASTag Recharge Online | Instant Recharge @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi FASTag Recharge Online | Instant Recharge - Regression Tests","Regression Test Suite","",""
"","11882","Verify that 26 Buttons are present on Vi International Roaming Packs (2026) - Stay Connected Abroad | Vi India @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi International Roaming Packs (2026) - Stay Connected Abroad | Vi India - Regression Tests","Regression Test Suite","",""
"","5133","Verify that 1 Input is present on Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India - Regression Tests","Regression Test Suite","",""
"","7809","Verify that Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More loads successfully @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More - Regression Tests","Regression Test Suite","",""
"","25657","Verify that 1 Form is present on How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India @regression","chromium","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India - Regression Tests","Regression Test Suite","",""
"","4796","Verify that 13 Buttons are present on Vi Official Videos: Tips, Products & Updates @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Vi Official Videos: Tips, Products & Updates - Regression Tests","Regression Test Suite","",""
"","5496","Verify that 8 Headings are present on Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India @regression","webkit","2026-06-12","passed","2026-06-12","https://www.myvi.in/ - Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India - Regression Tests","Regression Test Suite","",""
